Year,Zone,Sub Region,District,Division 1 - Boys,Division 1 - Girls,Division 1 - Total,Division 2 - Boys,Division 2 - Girls,Division 2 - Total,Division 3 - Boys,Division 3 - Girls,Division 3 - Total,Division 4 - Boys,Division 4 - Girls,Division 4 - Total,Division U - Boys,Division U - Girls,Division U - Total,Division X - Boys,Division X - Girls,Division X - Total,Registered - Boys,Registered - Girls,Registered - Total,Sat - Boys,Sat - Girls,Sat - Total,Passed - Boys,Passed - Girls,Passed - Total,Pass Rate - Boys,Pass Rate - Girls,Pass Rate - Total,Pass Division 1_2_3 Boys,Pass Division 1_2_3 Girls,Pass Division 1_2_3 Total,Pass Rate Division 1_2_3 Boys,Pass Rate Division 1_2_3 Girls,Pass Rate Division 1_2_3 Total,Pass Rate Division 1 Boys,Pass Rate Division 1 Girls,Pass Rate Division 1 Total,Failure Rate -  Boys,Failure Rate - Girls,Failure Rate - Total,Abseentism Rate - Boys,Abseentism Rate - Girls,Abseentism Rate - Total
2022,Other,Toro,Kyenjojo,420,498,918,2476,2805,5281,504,535,1039,311,283,594,116,160,276,63,68,131,3890,4349,8239,3827,4281,8108,3711,4121,7832,0.0,0.0,0.0,3400,3838,7238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,South Buganda,Kyotera,824,839,1663,1314,1843,3157,291,367,658,161,238,399,81,97,178,93,95,188,2764,3479,6243,2671,3384,6055,2590,3287,5877,0.0,0.0,0.0,2429,3049,5478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,AZO,Acholi,Lamwo,25,17,42,773,443,1216,612,528,1140,391,334,725,420,486,906,40,34,74,2261,1842,4103,2221,1808,4029,1801,1322,3123,0.0,0.0,0.0,1410,988,2398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Lango,Lira,862,655,1517,2051,1953,4004,717,807,1524,407,563,970,768,824,1592,99,84,183,4904,4886,9790,4805,4802,9607,4037,3978,8015,0.0,0.0,0.0,3630,3415,7045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Busoga,Luuka,134,98,232,976,1122,2098,583,792,1375,478,577,1055,585,695,1280,82,109,191,2838,3393,6231,2756,3284,6040,2171,2589,4760,0.0,0.0,0.0,1693,2012,3705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,North Buganda,Luweero,1104,1034,2138,3323,4277,7600,1020,1424,2444,756,1036,1792,636,711,1347,182,203,385,7021,8685,15706,6839,8482,15321,6203,7771,13974,0.0,0.0,0.0,5447,6735,12182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,South Buganda,Lwengo,588,584,1172,1468,2016,3484,425,724,1149,298,449,747,200,302,502,100,104,204,3079,4179,7258,2979,4075,7054,2779,3773,6552,0.0,0.0,0.0,2481,3324,5805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,South Buganda,Lyantonde,204,164,368,519,652,1171,131,208,339,73,110,183,32,55,87,31,35,66,990,1224,2214,959,1189,2148,927,1134,2061,0.0,0.0,0.0,854,1024,1878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,AZO,West Nile,Madi Okollo,6,1,7,286,100,386,331,193,524,215,126,341,354,264,618,98,54,152,1290,738,2028,1192,684,1876,838,420,1258,0.0,0.0,0.0,623,294,917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Elgon,Manafwa,68,48,116,510,544,1054,439,514,953,270,374,644,513,488,1001,42,58,100,1842,2026,3868,1800,1968,3768,1287,1480,2767,0.0,0.0,0.0,1017,1106,2123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,West Nile,Maracha,45,5,50,772,333,1105,457,300,757,176,126,302,142,113,255,83,59,142,1675,936,2611,1592,877,2469,1450,764,2214,0.0,0.0,0.0,1274,638,1912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
